时间,主题,内容
1月12日 19:25,#每日山问#,今日趣味知识问答 R山东大学的微博投票
1月12日 18:43,#姗姗话题圈#,每个人都来模仿家长的语气说一句话吧！
1月12日 18:10,#山大放映室#,"【TED演讲：通过训练你的思维来超越你的极限】有“英国最佳治疗师”之称的讲者Marisa Peer告诉我们：
1. 你的大脑会做它认为对你最有利的事情。如果你没有得到你想要的，那么就是你没有与大脑进行适当的合作。
2. 你的大脑天生就倾向于快乐和避免痛苦。
3. 你所有的感觉可以归结为两件事 ...展开全文c"
1月12日 16:23,#山大放映室#,【
1月12日 14:18,#山大书屋#,"推荐书目：《人类简史》
推荐原因：
《人类简史》是以色列新锐历史学家的一部重磅作品。从十万年前有生命迹象开始到21世纪资本、科技交织的人类发展史。十万年前，地球上至少有六个人种，为何今天却只剩下了我们自己？我们曾经只是非洲角落一个毫不起眼的族群，对地球上生态的影响力和萤火 ...展开全文c"
1月12日 12:27,#百廿故事，山大星辰#,"春秋迭代，初心如磐。百廿山大，历经风霜洗礼；万千俊才，矢志强校兴国。让我们一起望璀璨星辰，表吾辈敬意，汇磅礴力量。
闻宥，(1901.10.5-1985.9.27)--江苏娄县人。民族学家、历史学家、古文字学家，藏系语言文字、古文物、彝文、羌语、古铜鼓研究专家。1932-1933、1935-1936 ...展开全文c"
1月12日 11:26,#姗姗话题圈#,考试周结束啦！小山竹们做的第一件事是什么呢？
1月12日 10:16,#新技能get√#,简历小技巧，早晚会用到～（via@学霸课长）
1月12日 09:23,#山大书屋#,【学会享受孤独，而不是忍受孤独】如果今天的你身边无人陪伴，不如学会独处吧，这将是最好的自我增值期。减少干扰，可以叩问自我、不断求索。不浮躁，不焦虑，把表面的花哨洗去，才能从容踏上想去的路。你的未来，都藏在这段珍贵而又纯粹的时光里。9句话，愿你学会享受孤独，而不是忍受孤 ...展开全文c
1月12日 08:21,#早安，山大！#,"
焰火下的孤独，是每一个梦想必须经过的地方。

——毕淑敏

早安呀～"
1月11日 22:48,#山大心语#,"
没有不可治愈的伤痛，没有不能结束的沉沦，所有失去的，会以另一种方式归来。
——约翰·肖尔斯《许愿树》

晚安啦"
1月11日 21:42,#新技能Get√#,"自学PS教程合集～寒假在家解锁新技能💪
敬伟PS教程 O敬伟PS教程全集
史上最容易听懂的PS入门基础教程 O【Photoshop 教程】史上最容易听懂的PS入门基...
Photoshop从入门到放弃全教程 O网页链接
PS常用快捷键 ¡查看图片
Photoshop基础工具入门 ¡查看图片...展开全文c"
1月11日 20:21,#每日山问#,姗姗小科普来啦~以下哪个不属于京剧四行当呢？ R山东大学的微博投票
1月11日 18:28,#姗姗话题圈#,如果把你微博ID第二个字做叠词当作你的昵称，看看是什么！
1月11日 17:09,#山大放映室#,
1月11日 15:02,#每日山问#,姗姗来提问啦！成年人身上有多少块骨骼呢？ R山东大学的微博投票
1月2日 11:59,#姗姗话题圈#,考试周已经开始啦，山竹们第一门考试科目是什么呀？准备的怎么样了呢
1月2日 10:28,#百廿故事，山大星辰#,"老舍先生(1899.2.3-1966.8.24)--北京人。作家、语言大师、人民艺术家。1930-1934年齐鲁大学教授，1934-1936年国立青岛大学教授，1937年齐鲁大学教授。
老舍先生致力于文学的普及和曲艺的改造，是民间曲艺改革的一位先驱者。在中国现代作家之中，老舍先生是唯一一个能够身体力行地 ...展开全文c"
1月2日 09:04,#山大放映室#,
1月2日 08:10,#早安，山大！#,"如果有一天，你不再渴望成功，只是去做；你不再追求空泛的成长，只是开始修养自己的性情；你的人生，才真正开始。
———纪伯伦
早安，山竹们！"
1月1日 22:39,#山大心语#,"
即使没有月亮，心中也是一片皎洁。
——路遥

晚安啦"
1月1日 20:27,#姗姗话题圈#,山竹们，在评论区点击“冬”字一直按到结束，让姗姗康康你的冬日里有什么吧！
1月1日 19:13,#每日山问#,叮咚，英语小课堂开课啦~请问deep pocket是什么意思呢？ R山东大学的微博投票
