网址,标题,时间戳
https://search.cctv.com/link_p.php?targetpage=https://arts.cctv.com/2021/02/26/ARTIOIopo329WnJFDMZG4jHC210226.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D4,让优秀传统文化在孩子心田发芽,2021-02-26 16:39:46
https://search.cctv.com/link_p.php?targetpage=https://edu.cctv.com/2021/02/26/ARTI11sSfV0VnzpuTjMZiXSe210226.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D4,让优秀传统文化在孩子心田发芽,2021-02-26 11:35:37
https://search.cctv.com/link_p.php?targetpage=https://people.cctv.com/2021/02/28/ARTIqMCvEJk0YwXiIAiDbq9Y210228.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D4,她是殷墟考古发掘功勋人物，揭开千年甲骨的今世光芒,2021-02-28 00:37:00
https://search.cctv.com/link_p.php?targetpage=https://news.cctv.com/2021/02/19/ARTIEdGIHzqWX0P9r2rhXBo1210219.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D4,全媒体时代提高新闻舆论工作有效性的十项要求,2021-02-19 15:05:15
https://search.cctv.com/link_p.php?targetpage=http://news.cctv.com/2017/11/23/ARTIDkBzphODQAKh7mpTTdYW171123.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D4,"生动扎实 以中国梦激扬青春梦——学习贯彻党的十九大精神中央宣讲团赴南京大学、
山东大学
、吉林大学、兰州大学宣讲",2017-11-23 17:47:31
https://search.cctv.com/link_p.php?targetpage=http://news.cctv.com/2017/04/30/ARTI9COLaVwhJWi0lC4uG0oN170430.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D5,"山东大学
生宋振宁被电信诈骗案移送检察机关审查起诉",2017-04-30 04:30:22
https://search.cctv.com/link_p.php?targetpage=https://people.cctv.com/2020/09/28/ARTIEB6k7rCpOEhEHc7hj6WF200928.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D5,彭实戈： 用数学计算“对冲”金融风险,2020-09-28 12:55:41
https://search.cctv.com/link_p.php?targetpage=https://edu.cctv.com/2021/02/07/ARTIAy1ByJndVQV5lIv9vRcu210207.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D5,父母就地过年，老家的孩子能得到妥善照料吗？,2021-02-07 10:15:58
https://search.cctv.com/link_p.php?targetpage=https://news.cctv.com/2020/11/01/ARTIC9CsQwcE0mrwMqgdWHp2201101.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D5,24个重点海洋项目集中开工 总投资122亿元,2020-11-01 09:12:55
https://search.cctv.com/link_p.php?targetpage=https://news.cctv.com/2021/01/20/ARTIcUrZgY8m37vmYFrL7sAy210120.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D5,注意！高龄孕妇需警惕胎停育偷袭,2021-01-20 06:59:50
