网址,标题,时间戳
https://www.toutiao.com/group/6872903398664962568/,山东大学增4个“招生计划”，3个落空仅1人补录成功，原因为何, 大树说教育 ⋅ 14评论 ⋅ 5月前
https://www.toutiao.com/group/6670700811519001091/,山东大学主校区搬章丘的事，可能是黄了！, 春风下的杨柳 ⋅ 498评论 ⋅ 1年前
https://www.toutiao.com/group/6884594963296977415/,山东大学2020年山东省各专业录取分数统计, 超越梦想BEYOND ⋅ 5评论 ⋅ 4月前
https://www.toutiao.com/group/6572763568842736135/,山东大学重振“文史见长”：推进学科振兴计划，培育山大学派, 澎湃新闻 ⋅ 1评论 ⋅ 2年前
https://www.toutiao.com/group/6442848946381652226/,山东大学确实厉害，连这所从山大分出来的大学，都是211和985, 春风下的杨柳 ⋅ 0评论 ⋅ 3年前
https://www.toutiao.com/group/6729081137450189315/,我国规模最大的985大学之一，每年招生人数超万人，却被家长质疑, 教育有故事 ⋅ 0评论 ⋅ 1年前
https://www.toutiao.com/group/6712758803667878407/,山东大学曾招募25人陪护一名骨折留学生，相关网页已被删除, 环球网 ⋅ 4772评论 ⋅ 1年前
https://www.toutiao.com/group/6746942045119578631/,到2021年山大要建成5个世界一流学科，现在进展如何？, 齐鲁壹点 ⋅ 83评论 ⋅ 1年前
https://www.toutiao.com/group/6386938384012050690/,山东大学建设新主校区引争议 校方回应：济南市政府划地6000亩 置换部分校区, 新京报 ⋅ 1评论 ⋅ 4年前
https://www.toutiao.com/group/6712766878986535427/,山大道歉了！另一所高校也发声……, 环球网新媒体 ⋅ 2333评论 ⋅ 1年前
https://www.toutiao.com/group/6881165276340027912/,蝉联冠军！什么，山大“熬夜不秃头”队这么优秀, 山东大学 ⋅ 16评论 ⋅ 5月前
https://www.toutiao.com/group/6758732452530749959/,牛！清华、国科大、南大拟推免生源学校前4！山东大学凭什么？, 胡侃教育 ⋅ 8评论 ⋅ 1年前
https://www.toutiao.com/group/6823919408079962631/,山东大学2020年强基计划招生简章, 晨雾 ⋅ 0评论 ⋅ 10月前
https://www.toutiao.com/group/6553163708724412932/,山大加入高校争才战：再拿不出好的体制机制，滑坡可能会更快, 澎湃新闻 ⋅ 1评论 ⋅ 2年前
https://www.toutiao.com/group/6874567207469351438/&list_entrance=search&root_category_name=search,它来了！山东大学率先“解封”，建立灵活报备机制，学生直呼激动, 闪电新闻 ⋅ 0评论 ⋅ 5月前
https://www.toutiao.com/group/6900821718685123079/,山东大学：对不起，中国海洋大学，经费看总量不看人均就是耍流氓, 沙漏遗爱 ⋅ 21评论 ⋅ 3月前
https://www.toutiao.com/group/6714080673314898445/,那个曾经“八马同槽”的山东大学, 史图馆 ⋅ 1141评论 ⋅ 1年前
https://www.toutiao.com/group/6377837006618231042/,从长远发展的角度看，山东大学将比四川大学、吉林大学更有优势, 塔尖 ⋅ 1评论 ⋅ 4年前
https://www.toutiao.com/group/6712972857015534084/,山东大学道歉！但一个细节值得注意, 光明网 ⋅ 113评论 ⋅ 1年前
https://www.toutiao.com/group/6874435661793853960/,酸了！山东大学解封，同城单日内外出不需审核！网友：求学校抄作业, 环球网 ⋅ 0评论 ⋅ 5月前
https://www.toutiao.com/group/6725227504602202627/,山东大学的尴尬！作为985大学，排名不断下滑，怎么回事？, 新通国际教育 ⋅ 217评论 ⋅ 1年前
https://www.toutiao.com/group/6712724904959017479/,山东大学就“学伴”项目致歉：不存在配备3个异性学伴问题, 新京报政事儿 ⋅ 30评论 ⋅ 1年前
https://www.toutiao.com/group/6442853418825417230/,山东大学确实厉害，连从山大分出来的大学，都是211和985, 春风下的杨柳 ⋅ 1评论 ⋅ 3年前
